"","pets","sex","status","sign","pets_dislike","pets_like","pets_has"
"1","has cats","m","available","pisces",NA,NA,"cats"
"2","likes dogs and likes cats","f","single","gemini",NA,"dogs/cats",NA
"3","likes dogs and likes cats","m","single","cancer",NA,"dogs/cats",NA
"4","likes cats","m","seeing someone","leo",NA,"cats",NA
"5","likes dogs and has cats","f","single","aquarius",NA,"dogs","cats"
"6","likes dogs and likes cats","m","single","pisces",NA,"dogs/cats",NA
"7",NA,"f","single","aries",NA,NA,NA
"8","likes dogs and likes cats","m","single","libra",NA,"dogs/cats",NA
"9","likes dogs and likes cats","m","single","pisces",NA,"dogs/cats",NA
"10","likes dogs and likes cats","f","single","taurus",NA,"dogs/cats",NA
"11","likes dogs and likes cats","m","single","sagittarius",NA,"dogs/cats",NA
"12","likes dogs and likes cats","m","single","aquarius",NA,"dogs/cats",NA
"13","likes cats","m","single","scorpio",NA,"cats",NA
"14","has dogs","m","single","gemini",NA,NA,"dogs"
"15","likes dogs and dislikes cats","m","single","leo","cats","dogs",NA
"16","has dogs and dislikes cats","m","single","leo","cats","cats","dogs"
"17",NA,"m","single","leo",NA,NA,NA
"18","likes dogs and likes cats","m","single","sagittarius",NA,"dogs/cats",NA
"19","likes dogs and dislikes cats","m","single","cancer","cats","dogs",NA
"20","likes dogs and likes cats","m","single","libra",NA,"dogs/cats",NA
"21",NA,"m","single","gemini",NA,NA,NA
"22","likes dogs","m","single","gemini",NA,"dogs",NA
"23","has cats","f","single","aquarius",NA,NA,"cats"
"24","likes dogs and likes cats","f","single","taurus",NA,"dogs/cats",NA
"25","likes dogs and likes cats","m","single","gemini",NA,"dogs/cats",NA
"26","likes dogs and has cats","m","single","pisces",NA,"dogs","cats"
"27","likes dogs and likes cats","m","single","libra",NA,"dogs/cats",NA
"28","likes dogs and dislikes cats","m","seeing someone","gemini","cats","dogs",NA
"29",NA,"m","single","cancer",NA,NA,NA
"30","likes dogs","f","single","gemini",NA,"dogs",NA
"31",NA,"m","single","virgo",NA,NA,NA
"32",NA,"m","single","virgo",NA,NA,NA
"33","likes dogs and has cats","f","single","aries",NA,"dogs","cats"
"34","likes dogs and likes cats","m","single","scorpio",NA,"dogs/cats",NA
"35","likes dogs","f","single","gemini",NA,"dogs",NA
"36","likes dogs and likes cats","m","single","pisces",NA,"dogs/cats",NA
"37",NA,"f","single","libra",NA,NA,NA
"38","likes dogs and has cats","m","single","sagittarius",NA,"dogs","cats"
"39","likes dogs","m","single","capricorn",NA,"dogs",NA
"40","likes dogs and has cats","f","seeing someone","leo",NA,"dogs","cats"
"41",NA,"f","single","cancer",NA,NA,NA
"42","likes dogs and likes cats","f","single","pisces",NA,"dogs/cats",NA
"43","likes dogs","m","single","gemini",NA,"dogs",NA
"44","likes cats","m","single","scorpio",NA,"cats",NA
"45",NA,"f","single","aries",NA,NA,NA
"46",NA,"f","available","capricorn",NA,NA,NA
"47","likes dogs and likes cats","m","single","aries",NA,"dogs/cats",NA
"48",NA,"m","single","libra",NA,NA,NA
"49","likes dogs","m","single","leo",NA,"dogs",NA
"50","likes dogs","f","single","scorpio",NA,"dogs",NA
"51","likes dogs","f","single","aries",NA,"dogs",NA
"52","likes dogs","f","single","aries",NA,"dogs",NA
"53","has dogs","m","single","aries",NA,NA,"dogs"
"54","likes dogs","f","single","aries",NA,"dogs",NA
"55","likes dogs and likes cats","f","single","capricorn",NA,"dogs/cats",NA
"56","likes dogs and likes cats","m","seeing someone","aries",NA,"dogs/cats",NA
"57","likes dogs and likes cats","f","single","capricorn",NA,"dogs/cats",NA
"58","has cats","m","single","aquarius",NA,NA,"cats"
"59","dislikes dogs and has cats","m","single","gemini","dogs","dogs","cats"
"60","likes dogs","m","single","sagittarius",NA,"dogs",NA
"61",NA,"f","single","aries",NA,NA,NA
"62",NA,"m","single","virgo",NA,NA,NA
"63","likes cats","m","available","gemini",NA,"cats",NA
"64","has dogs","f","seeing someone","leo",NA,NA,"dogs"
"65","likes dogs and has cats","f","single","libra",NA,"dogs","cats"
"66","likes cats","m","single","sagittarius",NA,"cats",NA
"67","likes dogs and likes cats","m","single","libra",NA,"dogs/cats",NA
"68","likes dogs and likes cats","m","single","taurus",NA,"dogs/cats",NA
"69","likes dogs and likes cats","m","single","scorpio",NA,"dogs/cats",NA
"70","likes dogs and likes cats","f","single","cancer",NA,"dogs/cats",NA
"71","has dogs and likes cats","m","single","leo",NA,"cats","dogs"
"72","has dogs and has cats","m","single","aquarius",NA,NA,"dogs/cats"
"73",NA,"m","available","leo",NA,NA,NA
"74",NA,"f","single","scorpio",NA,NA,NA
"75","likes dogs","f","single","leo",NA,"dogs",NA
"76","likes dogs and has cats","f","single","scorpio",NA,"dogs","cats"
"77","has dogs","f","single","sagittarius",NA,NA,"dogs"
"78",NA,"f","single","virgo",NA,NA,NA
"79","likes dogs and likes cats","f","single","gemini",NA,"dogs/cats",NA
"80","likes dogs","f","single","sagittarius",NA,"dogs",NA
"81",NA,"f","seeing someone","leo",NA,NA,NA
"82","likes dogs and has cats","m","single","virgo",NA,"dogs","cats"
"83","has dogs and dislikes cats","m","single","cancer","cats","cats","dogs"
"84","has cats","f","single","taurus",NA,NA,"cats"
"85","has dogs and likes cats","m","single","aquarius",NA,"cats","dogs"
"86","likes dogs and likes cats","f","single","aries",NA,"dogs/cats",NA
"87","likes dogs and has cats","f","single","leo",NA,"dogs","cats"
"88",NA,"f","single","aquarius",NA,NA,NA
"89","likes dogs and likes cats","f","single","taurus",NA,"dogs/cats",NA
"90","likes dogs and likes cats","m","single","virgo",NA,"dogs/cats",NA
"91","likes dogs","m","single","cancer",NA,"dogs",NA
"92","likes dogs and likes cats","f","single","virgo",NA,"dogs/cats",NA
"93","has dogs","m","single","scorpio",NA,NA,"dogs"
"94","likes dogs and dislikes cats","f","single","capricorn","cats","dogs",NA
"95",NA,"f","single","aquarius",NA,NA,NA
"96","likes dogs","m","single","gemini",NA,"dogs",NA
"97","likes dogs and likes cats","f","seeing someone","sagittarius",NA,"dogs/cats",NA
"98","likes dogs and has cats","f","single","gemini",NA,"dogs","cats"
"99","likes dogs and has cats","f","single","virgo",NA,"dogs","cats"
"100","has cats","m","single","taurus",NA,NA,"cats"
"101","likes dogs","f","single","pisces",NA,"dogs",NA
"102","likes cats","f","single","scorpio",NA,"cats",NA
"103","has dogs and has cats","f","seeing someone","gemini",NA,NA,"dogs/cats"
"104",NA,"m","single","gemini",NA,NA,NA
"105","likes dogs and likes cats","m","single","cancer",NA,"dogs/cats",NA
"106","likes dogs and has cats","f","single","virgo",NA,"dogs","cats"
"107","likes dogs and dislikes cats","m","single","aries","cats","dogs",NA
"108","likes dogs and likes cats","f","single","pisces",NA,"dogs/cats",NA
"109","has dogs and has cats","f","single","aries",NA,NA,"dogs/cats"
"110","likes dogs and likes cats","f","single","sagittarius",NA,"dogs/cats",NA
"111","has dogs and likes cats","f","single","virgo",NA,"cats","dogs"
"112","has dogs","m","single","virgo",NA,NA,"dogs"
"113",NA,"f","single","cancer",NA,NA,NA
"114","likes dogs and likes cats","f","single","pisces",NA,"dogs/cats",NA
"115","likes dogs and likes cats","m","seeing someone","leo",NA,"dogs/cats",NA
"116",NA,"m","single","scorpio",NA,NA,NA
"117","has dogs","f","single","pisces",NA,NA,"dogs"
"118","likes dogs","m","single","scorpio",NA,"dogs",NA
"119","likes dogs and likes cats","m","single","aries",NA,"dogs/cats",NA
"120","likes dogs and dislikes cats","m","single","leo","cats","dogs",NA
"121","has dogs","f","seeing someone","virgo",NA,NA,"dogs"
"122","likes dogs and dislikes cats","f","single","scorpio","cats","dogs",NA
"123","has dogs","m","single","leo",NA,NA,"dogs"
"124","likes dogs and has cats","f","single","gemini",NA,"dogs","cats"
"125","has dogs","f","single","leo",NA,NA,"dogs"
"126","likes dogs and likes cats","f","single","aquarius",NA,"dogs/cats",NA
"127","likes dogs","f","single","capricorn",NA,"dogs",NA
"128","has dogs","m","single","gemini",NA,NA,"dogs"
"129","has dogs and has cats","f","single","leo",NA,NA,"dogs/cats"
"130","has cats","f","single","aquarius",NA,NA,"cats"
"131","has dogs","f","single","pisces",NA,NA,"dogs"
"132","has dogs and likes cats","m","single","pisces",NA,"cats","dogs"
"133","has dogs and dislikes cats","f","single","taurus","cats","cats","dogs"
"134","likes dogs and has cats","f","single","libra",NA,"dogs","cats"
"135","likes dogs and likes cats","m","single","cancer",NA,"dogs/cats",NA
"136","likes dogs","m","single","virgo",NA,"dogs",NA
"137","likes dogs","f","single","leo",NA,"dogs",NA
"138","has dogs and has cats","f","single","virgo",NA,NA,"dogs/cats"
"139",NA,"m","single","leo",NA,NA,NA
"140","likes dogs and likes cats","m","single","pisces",NA,"dogs/cats",NA
"141","has cats","f","single","aquarius",NA,NA,"cats"
"142","dislikes dogs and dislikes cats","m","single","taurus","dogs/cats","dogs",NA
"143","likes dogs and likes cats","f","single","libra",NA,"dogs/cats",NA
"144","has dogs","m","single","aries",NA,NA,"dogs"
"145","has dogs and likes cats","m","single","aries",NA,"cats","dogs"
"146","likes dogs","f","single","pisces",NA,"dogs",NA
"147","likes dogs and likes cats","f","single","aries",NA,"dogs/cats",NA
"148","likes dogs and has cats","f","single","taurus",NA,"dogs","cats"
"149","likes dogs and likes cats","m","single","gemini",NA,"dogs/cats",NA
"150",NA,"m","single","aquarius",NA,NA,NA
"151",NA,"m","single","leo",NA,NA,NA
"152","has dogs","f","available","taurus",NA,NA,"dogs"
"153","likes dogs and has cats","f","single","scorpio",NA,"dogs","cats"
"154","has dogs","m","single","pisces",NA,NA,"dogs"
"155","likes dogs and likes cats","f","single","virgo",NA,"dogs/cats",NA
"156","likes dogs","m","single","leo",NA,"dogs",NA
"157",NA,"f","single","scorpio",NA,NA,NA
"158","likes dogs and likes cats","m","single","libra",NA,"dogs/cats",NA
"159","likes dogs and likes cats","m","single","aquarius",NA,"dogs/cats",NA
"160","has dogs and likes cats","m","single","scorpio",NA,"cats","dogs"
"161",NA,"m","single","virgo",NA,NA,NA
"162","likes dogs and has cats","f","single","scorpio",NA,"dogs","cats"
"163",NA,"m","single","aries",NA,NA,NA
"164","likes dogs and likes cats","f","single","libra",NA,"dogs/cats",NA
"165","has cats","f","single","pisces",NA,NA,"cats"
"166","likes dogs and likes cats","m","single","libra",NA,"dogs/cats",NA
"167","has dogs and has cats","f","single","gemini",NA,NA,"dogs/cats"
"168","likes dogs","f","single","pisces",NA,"dogs",NA
"169","likes dogs and likes cats","f","single","pisces",NA,"dogs/cats",NA
"170","likes dogs and has cats","f","single","leo",NA,"dogs","cats"
"171",NA,"m","single","virgo",NA,NA,NA
"172",NA,"f","single","aries",NA,NA,NA
"173","has dogs","m","single","libra",NA,NA,"dogs"
"174","has dogs and has cats","f","single","capricorn",NA,NA,"dogs/cats"
"175","likes cats","f","single","virgo",NA,"cats",NA
"176","has dogs","f","single","leo",NA,NA,"dogs"
